,MLSNumber,DOM,List Price,City,Age,CompAvgAge,InteriorSqFt,CompAvgSqFt,Bedrooms,BathsFull,BathsHalf,NumComps,hoaTotalFee,MonthlyMortgage,TaxMonthlyTotal,TotalMonthlyCosts,CompAvgRentRevenue,MonthlyProfit,CapRate
4303,VALO417260,36,559999.0,Aldie,2013,,2342,,4,2,1.0,0.0,107.0,2117.30,413.4166666666667,2662.7166666666667,,,
4318,VAFX1142834,51,469900.0,Annandale,1976,,1452,,4,3,1.0,0.0,100.0,1702.59,383.9166666666667,2211.5066666666667,,,
4322,VAFX1143950,57,885000.0,Fairfax,2004,,3606,,5,3,1.0,0.0,116.0,3613.22,771.0833333333334,4525.303333333333,,,
4329,VAAR166640,66,1239900.0,Arlington,2020,,1362,,2,2,1.0,0.0,670.0,5246.77,1033.25,6975.02,,,
4334,VAFX1143852,70,325000.0,Reston,1995,1994.5,1108,1077.0,2,2,0.0,10.0,512.0,1035.64,335.8333333333333,1908.4733333333334,1887.5,-20.973333333333358,-0.2516800000000003
4336,VAAR166306,70,997500.0,Arlington,2015,,2240,,3,3,2.0,0.0,121.25,4131.04,759.25,5036.54,,,
4364,VALO417002,68,699988.0,Ashburn,2018,2015.5,3026,2575.6666666666665,4,3,1.0,6.0,255.0,2761.64,452.5,3494.14,2699.1666666666665,-794.9733333333334,-9.53968
4368,VAFX1143572,71,1599990.0,Vienna,2020,,5955,,5,5,1.0,0.0,155.0,6904.20,0.0,7084.2,,,
4389,VAFC120146,72,839900.0,Fairfax,2017,,3120,,4,4,1.0,0.0,118.0,3405.63,689.9166666666666,4238.546666666667,,,
4394,VALO411740,72,839000.0,Brambleton,2018,2017.6666666666667,3394,2983.0,4,3,2.0,6.0,217.0,3401.49,708.4166666666666,4351.906666666667,3237.5,-1114.4066666666668,-13.37288
4397,VAPW500350,72,365000.0,Woodbridge,2004,2005.0,1477,1628.0,2,2,1.0,1.0,562.2,1219.75,319.0833333333333,2126.0333333333333,1850.0,-276.0333333333333,-3.3123999999999993
4402,VAPW499346,10,370000.0,Bristow,1995,1995.0,1710,1875.0,3,2,2.0,1.0,101.0,1242.76,338.4166666666667,1707.1766666666667,1950.0,242.82333333333327,2.9138799999999994
4413,VAFX1143050,68,218000.0,Alexandria,1985,1985.6666666666667,1026,1074.6666666666667,2,2,0.0,3.0,355.0,543.13,158.5,1081.63,1566.6666666666667,485.03666666666663,5.82044
4416,VAFX1141442,66,775000.0,Alexandria,2019,,3642,,3,2,2.0,0.0,195.0,3106.91,651.1666666666666,3978.0766666666664,,,
4418,VAAR166142,64,1424999.0,Arlington,2013,2014.0,1600,1711.3333333333333,2,2,1.0,3.0,689.0,6098.74,1119.1666666666667,7931.906666666667,5249.666666666667,-2682.24,-32.186879999999995
4435,VALO416600,75,489000.0,Ashburn,2017,2018.090909090909,1524,1613.7272727272727,3,2,1.0,11.0,380.0,1790.50,366.5833333333333,2562.0833333333335,2797.7272727272725,235.64393939393904,2.8277272727272686
4443,VAFX1142608,55,472000.0,Herndon,2014,2015.25,1522,1522.0,3,2,1.0,4.0,257.0,1712.25,419.3333333333333,2413.5833333333335,2275.0,-138.58333333333348,-1.663000000000002
4447,VAAR166288,76,380000.0,Arlington,1992,1992.0,1415,1352.0,2,2,0.0,1.0,546.0,1288.79,288.9166666666667,2148.7066666666665,5732.0,3583.2933333333335,42.999520000000004
4450,VAFX1142416,72,1595000.0,Alexandria,1984,,8628,,5,4,1.0,0.0,125.0,6881.23,1475.6666666666667,8506.896666666666,,,
4452,VAAR165522,72,599000.0,Arlington,2000,2000.0,970,955.0,2,2,0.0,1.0,535.0,2296.81,451.8333333333333,3308.6433333333334,2400.0,-908.6433333333334,-10.903720000000002
4453,VAAR166278,76,324900.0,Arlington,1992,1992.0,1438,1352.0,2,2,0.0,1.0,557.0,1035.18,80.58333333333333,1697.7633333333333,5732.0,4034.2366666666667,48.41083999999999
4459,VALO416494,56,295000.0,Ashburn,1992,1993.0,1221,1221.0,2,2,0.0,1.0,512.31,897.55,220.41666666666666,1655.2766666666666,1850.0,194.72333333333336,2.3366800000000003
4474,VAFX1142332,63,1549900.0,Mclean,2013,,5000,,6,5,1.0,0.0,137.0,6673.64,1225.1666666666667,8060.806666666667,,,
4481,VAFX1142202,77,540000.0,Fairfax,2007,2007.0,1495,1102.0,2,2,1.0,3.0,584.0,2025.25,468.3333333333333,3102.5833333333335,2483.3333333333335,-619.25,-7.431
4483,VAAR165820,76,925000.0,Arlington,2013,,1207,,1,1,1.0,0.0,549.0,3797.33,727.75,5099.08,,,
4484,VAAX248598,77,199800.0,Alexandria,1967,1967.0,864,851.2,1,1,0.0,5.0,520.0,459.36,137.0,1141.3600000000001,1440.0,298.6399999999999,3.583679999999999
4493,VAPW499160,78,319500.0,Haymarket,2006,,1499,,2,2,0.0,0.0,618.19,1010.32,326.0,1979.5100000000002,,,
4495,VALO416266,77,524900.0,Ashburn,2018,,2532,,3,2,1.0,0.0,432.58000000000004,1955.74,0.0,2413.32,,,
4505,VAAX248556,78,1250000.0,Alexandria,2013,,2434,,3,3,0.0,0.0,627.0,5293.25,986.5,6931.75,,,
4507,VAAR166110,78,378000.0,Arlington,1973,1973.0,851,926.3333333333334,1,1,0.0,6.0,564.0,1279.59,271.25,2139.84,1944.1666666666667,-195.6733333333334,-2.348080000000001
4512,VAFC120090,76,599900.0,Fairfax,2018,2017.0,1480,1615.0,2,2,0.0,1.0,357.0,2300.95,529.9166666666666,3212.8666666666663,2700.0,-512.8666666666663,-6.154399999999996
